model,source,target,direction,ci_high,ci_low,layers,mean_auc_c_over_b,n_B,n_C,n_boot_valid,n_layers,p_le_0_5,question_clusters,sample_size,window_end,window_start
qwen25_7b,math,movies,math->movies,0.7536345205517498,0.6879979348918345,11;12;13;14;15;16;17;18;19;20;21,0.7216508307417399,143,370,1000,11,0.0,468,513,0.8,0.4
qwen25_7b,movies,math,movies->math,0.6913031773900636,0.6147798093893952,11;12;13;14;15;16;17;18;19;20;21,0.6529642913805217,168,1719,1000,11,0.0,1824,1887,0.8,0.4
llama31_8b,math,movies,math->movies,0.8224899135270284,0.7625660728816015,13;14;15;16;17;18;19;20;21;22;23;24,0.7935000095162841,1853,293,1000,12,0.0,2035,2146,0.8,0.4
llama31_8b,movies,math,movies->math,0.5986712262173565,0.5355549121988307,13;14;15;16;17;18;19;20;21;22;23;24,0.566806331471136,915,358,1000,12,0.0,1240,1273,0.8,0.4
qwen25_14b,math,movies,math->movies,0.7514521048678654,0.6914719889370452,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,0.7213156420462923,1190,150,1000,19,0.0,1274,1340,0.8,0.4
qwen25_14b,movies,math,movies->math,0.8107073004350324,0.7631813982774115,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,0.7881157731945163,1314,249,1000,19,0.0,1493,1563,0.8,0.4
olmo3_7b_it,math,movies,math->movies,0.9110093641682878,0.8319972047041047,13;14;15;16;17;18;19;20;21;22;23;24,0.8738981073373089,133,116,1000,12,0.0,249,249,0.8,0.4
olmo3_7b_it,movies,math,movies->math,0.7333231422308584,0.6345531336039069,13;14;15;16;17;18;19;20;21;22;23;24,0.6855112977143519,104,221,1000,12,0.0,318,325,0.8,0.4
