model,domain,cb_question_clusters,cb_sample_size,difference_grouped_minus_row_level,grouped_window_cb_cluster_n_boot_valid,grouped_window_cb_delta_auc,grouped_window_cb_delta_auc_ci_high,grouped_window_cb_delta_auc_ci_low,grouped_window_cb_delta_auc_p_le_zero,grouped_window_cb_meta_mj_auc,grouped_window_cb_meta_mj_auc_ci_high,grouped_window_cb_meta_mj_auc_ci_low,grouped_window_cb_truth_gt_auc,grouped_window_cb_truth_gt_auc_ci_high,grouped_window_cb_truth_gt_auc_ci_low,layers,min_grouped_layer_cb_delta_auc,n_layers,positive_grouped_layers,question_clusters,row_level_window_cb_delta_auc,sample_size,window_end,window_start
qwen25_7b,math,1824,1887,-0.0046305740023016295,1000,0.17320581783932582,0.250598924180609,0.09571926658143363,0.0,0.6494051081747417,0.692181949046641,0.6065254672893936,0.4761992903354159,0.5186784527453049,0.4364816693599552,11;12;13;14;15;16;17;18;19;20;21,0.029159394997091304,11,11,2307,0.17783639184162744,4614,0.8,0.4
qwen25_7b,movies,468,513,0.0018539200357381713,1000,0.24002680366316725,0.32853331015637127,0.14962517457364696,0.0,0.7233535506262779,0.7625143072046917,0.6865725933750771,0.4833267469631107,0.5427554798899781,0.429009279160864,11;12;13;14;15;16;17;18;19;20;21,-0.0025137025137025315,11,10,909,0.23817288362742908,1824,0.8,0.4
llama31_8b,math,1240,1273,-0.0022488831903612963,1000,-0.04156160006512599,0.012042913734835797,-0.09693007350506179,0.93,0.6515874469579022,0.6802612786765379,0.6219087248539412,0.6931490470230282,0.7233758806516952,0.6623238013844687,13;14;15;16;17;18;19;20;21;22;23;24,-0.0730805629331136,12,0,1539,-0.039312716874764696,3078,0.8,0.4
llama31_8b,movies,2035,2146,-0.002989494636192691,1000,0.6960268592517007,0.7421134967210594,0.6501613660797079,0.0,0.9146486004615704,0.9310395298517209,0.8969169848835696,0.21862174120986963,0.25001749150680597,0.18779926173129788,13;14;15;16;17;18;19;20;21;22;23;24,0.603752976908583,12,12,2775,0.6990163538878934,5560,0.8,0.4
qwen25_14b,math,1493,1563,-0.0007682737679871599,1000,0.3478044196331911,0.3978414207230313,0.2878535755991059,0.0,0.7431600953199966,0.766035963136548,0.7148334060547591,0.3953556756868055,0.43013375715757285,0.36517316360228336,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,0.1337068211965059,19,19,2370,0.34857269340117825,4740,0.8,0.4
qwen25_14b,movies,1274,1340,-0.0005709862892525064,1000,0.4062603567742887,0.474339089603478,0.33648237164940004,0.0,0.7584853309744951,0.7915849862621395,0.7249623792747892,0.35222497420020643,0.39305136379590155,0.31142744005077777,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,0.1452100840336134,19,19,1659,0.4068313430635412,3320,0.8,0.4
olmo3_7b_it,math,318,325,-0.025561260006961406,1000,0.47644013226592413,0.5561401793047994,0.39513169033271767,0.0,0.8985671191553545,0.9276187346804446,0.8646878028974013,0.42212698688943034,0.4837777673607709,0.3603252106414165,13;14;15;16;17;18;19;20;21;22;23;24,0.3880525583014271,12,12,362,0.5020013922728855,724,0.8,0.4
olmo3_7b_it,movies,249,249,0.0014205773053322934,1000,0.5516053063693718,0.6603082993924614,0.4420800001908376,0.0,0.866752009333679,0.9155242933501525,0.8168385121295721,0.3151467029643073,0.38088223136129995,0.24934851464616117,13;14;15;16;17;18;19;20;21;22;23;24,0.518796992481203,12,12,508,0.5501847290640395,1016,0.8,0.4
