direction,n_layers,curve_correlation,curve_delta_mae,r2_positive_layers,r2_ci_positive_layers,r2_target_bc_rows,r2_target_questions,original_window_meta_auc,original_window_truth_auc,original_window_delta_auc,original_window_delta_ci_low,original_window_delta_ci_high,r2_window_meta_auc,r2_window_truth_auc,r2_window_delta_auc,r2_window_delta_ci_low,r2_window_delta_ci_high,r2_minus_original_window_delta
math->movies,28,0.9962448099421553,0.022219945333863036,23,17,513,472,0.75012285012285,0.29990721808903625,0.4502156320338137,0.3858548348359185,0.5128995989334474,0.763159362105498,0.31488859826096366,0.4482707638445343,0.37355556740679446,0.5144232773893938,-0.001944868189279414
movies->math,28,0.9909695173981651,0.03643759414474342,23,15,1885,1815,0.6700519279053311,0.3680922286943229,0.3019596992110082,0.21906200086340222,0.3706192629516311,0.6544762782798869,0.4052658503743911,0.24921042790549575,0.16839088250846287,0.3295314519343153,-0.052749271305512435
