model,domain,n_rows,n_pairs,saved_vs_reconstructed_mae,saved_vs_reconstructed_max_abs_error,saved_vs_reconstructed_pearson_r,saved_vs_compatible_reconstruction_mae,saved_vs_compatible_reconstruction_max_abs_error,saved_vs_compatible_reconstruction_pearson_r,saved_vs_full_mae,saved_vs_full_pearson_r,saved_vs_full_label_flip_n,saved_vs_full_label_flip_fraction,top4_vs_full_mae,top4_vs_full_max_abs_error,top4_vs_full_pearson_r,top4_vs_full_label_flip_n,top4_vs_full_label_flip_fraction,saved_confident_row_n,full_confident_row_n,confident_row_membership_change_n,saved_complete_pair_n,top4_complete_pair_n,full_complete_pair_n,top4_vs_full_complete_pair_membership_change_n,top4_vs_full_complete_pair_membership_change_fraction,complete_pair_membership_change_n,complete_pair_membership_change_fraction,complete_pair_overlap_n,saved_only_complete_pair_n,full_only_complete_pair_n,complete_pair_jaccard,coverage_both_n,coverage_both_fraction,coverage_yes_only_n,coverage_yes_only_fraction,coverage_no_only_n,coverage_no_only_fraction,coverage_neither_n,coverage_neither_fraction,coverage_both_correct_n,coverage_yes_only_correct_n,coverage_no_only_correct_n,coverage_neither_correct_n,coverage_both_incorrect_n,coverage_yes_only_incorrect_n,coverage_no_only_incorrect_n,coverage_neither_incorrect_n
llama31_8b,math,6788,3394,0.017619497567953935,0.1846358320876526,0.9951946210441992,0.017619497567953935,0.1846358320876526,0.9951946210441992,0.017619497246814414,0.9951946210210734,163,0.02401296405421332,3.428732356912579e-09,1.298755392120654e-08,0.9999999999999991,0,0.0,4569,4534,313,1539,1520,1520,0,0.0,199,0.05863288155568651,1430,109,90,0.8778391651319828,6788,1.0,0,0.0,0,0.0,0,0.0,3394,0,0,0,3394,0,0,0
llama31_8b,movies,7364,3682,0.010146057470082103,0.1548431008398678,0.9980235481728299,0.010146057470082103,0.1548431008398678,0.9980235481728299,0.010146057149588203,0.9980235481754067,75,0.010184682237914177,2.241735672069285e-09,1.3743013893563472e-08,1.0,0,0.0,6371,6363,122,2780,2773,2773,0,0.0,103,0.02797392721347094,2725,55,48,0.9635785007072136,7364,1.0,0,0.0,0,0.0,0,0.0,3682,0,0,0,3682,0,0,0
olmo3_7b_it,math,3168,1584,0.010801602252064632,0.06241874674751252,0.9965252398257151,0.010801602252064632,0.06241874674751252,0.9965252398257151,0.010801601477793686,0.9965252398205153,65,0.020517676767676768,3.517042344363569e-09,1.3743013893563472e-08,0.9999999999999999,0,0.0,1357,1387,102,362,378,378,0,0.0,48,0.030303030303030304,346,16,32,0.8781725888324873,3168,1.0,0,0.0,0,0.0,0,0.0,1584,0,0,0,1584,0,0,0
olmo3_7b_it,movies,2186,1093,0.007651312597032213,0.06241874674751252,0.9989961462270206,0.007651312597032213,0.06241874674751252,0.9989961462270206,0.0076513117451152725,0.9989961462552813,25,0.011436413540713633,3.43116744905515e-09,1.3743013893563472e-08,1.0,0,0.0,1465,1456,43,508,501,501,0,0.0,23,0.021043000914913082,493,15,8,0.9554263565891473,2186,1.0,0,0.0,0,0.0,0,0.0,1093,0,0,0,1093,0,0,0
qwen25_14b,math,5210,2605,0.009602081786456305,0.3016380238834707,0.9975805917268165,0.00960208178643919,0.3016380238834707,0.9975805917268177,0.009602081884995372,0.9975805917385139,43,0.008253358925143953,5.961936564094479e-10,1.0317849158392178e-08,0.9999999999999991,0,0.0,4968,4962,102,2370,2366,2366,0,0.0,92,0.035316698656429946,2322,48,44,0.9618889809444905,4401,0.844721689059501,0,0.0,809,0.15527831094049904,0,0.0,2353,0,252,0,2048,0,557,0
qwen25_14b,movies,3532,1766,0.008319788116746897,0.5271098688734321,0.9955399205204538,0.008319788082975363,0.5271098688734321,0.9955399205227029,0.008319788180272045,0.9955399205353785,42,0.01189127972819932,5.521933363315755e-10,4.768357908375965e-07,1.0,0,0.0,3424,3422,56,1660,1659,1659,0,0.0,55,0.03114382785956965,1632,28,27,0.967397747480735,1780,0.5039637599093998,0,0.0,1752,0.4960362400906002,0,0.0,1178,0,588,0,602,0,1164,0
qwen25_7b,math,5406,2703,0.009550159000199142,0.2310585786300049,0.9972504096542192,0.009550158931281886,0.2310585786300049,0.9972504096549849,0.009550159041430233,0.9972504096439674,49,0.009064002959674435,1.5159470649919366e-09,4.445950644964202e-07,0.9999999999999997,0,0.0,4992,4989,113,2307,2305,2305,0,0.0,106,0.0392156862745098,2253,54,52,0.9550657058075456,5405,0.9998150203477617,0,0.0,1,0.0001849796522382538,0,0.0,2703,0,0,0,2702,0,1,0
qwen25_7b,movies,2202,1101,0.014103931367076971,0.24491866240370913,0.9973225805826111,0.014103930993380314,0.24491866240370913,0.9973225806799434,0.01410394109529851,0.9973225813159989,31,0.01407811080835604,1.4163003743409089e-08,1.3020629662305415e-06,0.9999999999999885,0,0.0,2007,1995,60,912,906,906,0,0.0,48,0.043596730245231606,885,27,21,0.9485530546623794,2107,0.9568574023614895,0,0.0,95,0.043142597638510444,0,0.0,1098,0,3,0,1009,0,92,0
