model,source,target,direction,bootstrap_unit,delta_auc,delta_ci_high,delta_ci_low,delta_p_le_zero,layers,meta_auc,meta_ci_high,meta_ci_low,n_boot,n_boot_valid,n_layers,source_design_rank,source_pair_AC,source_pair_AD,source_pair_BC,source_pair_BD,source_pairs,source_questions,source_rank_deficient_reps,target_bc_rows,target_questions,target_single_class_reps,truth_auc,truth_ci_high,truth_ci_low,window_end,window_start
qwen25_7b,math,movies,math->movies,source_question+target_question,0.4559466332193605,0.5167874490312727,0.38912001690910186,0.0,11;12;13;14;15;16;17;18;19;20;21,0.7444047353138262,0.7783261844036619,0.709278305940009,1000,1000,11,3,1656,483,63,105,2307,2307,0,513,468,0,0.2884581020944657,0.329538520452624,0.25325196191420346,0.8,0.4
qwen25_7b,movies,math,movies->math,source_question+target_question,0.2969669582889478,0.366356727572184,0.214794073158487,0.0,11;12;13;14;15;16;17;18;19;20;21,0.675581387296047,0.7141055818002325,0.633575319027868,1000,1000,11,3,325,444,45,98,912,909,0,1887,1824,0,0.3786144290070992,0.42309867336914914,0.33974616326789725,0.8,0.4
llama31_8b,math,movies,math->movies,source_question+target_question,0.5753591476356332,0.6340518072671838,0.51414854094184,0.0,13;14;15;16;17;18;19;20;21;22;23;24,0.787428389961364,0.8177114298974844,0.7541441526505268,1000,1000,12,3,325,299,33,882,1539,1539,0,2146,2035,0,0.21206924232573077,0.24296704364118765,0.18257395307283125,0.8,0.4
llama31_8b,movies,math,movies->math,source_question+target_question,0.1298906849426586,0.19107575973271845,0.06591488725217853,0.0,13;14;15;16;17;18;19;20;21;22;23;24,0.5726250623276451,0.6036331468402641,0.5400195978379797,1000,1000,12,3,185,742,108,1745,2780,2775,0,1273,1240,0,0.4427343773849865,0.4770970836907307,0.40868265968775974,0.8,0.4
qwen25_14b,math,movies,math->movies,source_question+target_question,0.438748194014448,0.4894420322255459,0.3753329817570472,0.0,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,0.7217315347191509,0.7497631017372374,0.6899210381905517,1000,1000,19,3,179,877,70,1244,2370,2370,0,1340,1274,0,0.2829833407047029,0.31842261079402745,0.25605850393118523,0.8,0.4
qwen25_14b,movies,math,movies->math,source_question+target_question,0.5616933004790129,0.5958234918588247,0.502569266688091,0.0,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,0.7854634913924705,0.8055770308586115,0.7556746677540945,1000,1000,19,3,85,385,65,1125,1660,1659,0,1563,1493,0,0.2237701909134576,0.2566206800733374,0.20397804234632275,0.8,0.4
olmo3_7b_it,math,movies,math->movies,source_question+target_question,0.7483606645925157,0.809970687377735,0.652311573750939,0.0,13;14;15;16;17;18;19;20;21;22;23;24,0.896400483968542,0.927796039204401,0.8532736220304155,1000,1000,12,3,214,44,7,97,362,362,0,249,249,0,0.14803981937602625,0.2134583438943473,0.1096810100403053,0.8,0.4
olmo3_7b_it,movies,math,movies->math,source_question+target_question,0.3206941060447849,0.41994608535365435,0.20590371983571887,0.0,13;14;15;16;17;18;19;20;21;22;23;24,0.7461458695904398,0.7942772080857095,0.6918204784792722,1000,1000,12,3,116,259,0,133,508,508,0,325,318,0,0.42545176354565495,0.5037959201143064,0.35609017274199634,0.8,0.4
