model,source,target,direction,beta_oc_truth,beta_sj_meta,delta_fe,delta_fe_ci_high,delta_fe_ci_low,delta_fe_p_le_zero,layers,meta_rank,meta_sj_minus_oc,meta_sj_minus_oc_ci_high,meta_sj_minus_oc_ci_low,meta_sj_minus_oc_p_le_zero,n_boot_valid,n_layers,n_questions,n_rows,truth_oc_minus_sj,truth_oc_minus_sj_ci_high,truth_oc_minus_sj_ci_low,truth_oc_minus_sj_p_le_zero,truth_rank,window_end,window_start
qwen25_7b,math,movies,math->movies,0.1732914460819506,0.5152741964475425,0.3419827503655918,0.4193871009808575,0.2663646302839349,0.0,11;12;13;14;15;16;17;18;19;20;21,3,0.3430486217663138,0.4228720989512021,0.2653710914919948,0.0,1000,11,909,1824,-0.2496770229710569,-0.1765509866737444,-0.3317727676997354,1.0,3,0.8,0.4
qwen25_7b,movies,math,movies->math,0.1648486334582834,0.4959890598041242,0.3311404263458408,0.3876047113545783,0.2695734700752293,0.0,11;12;13;14;15;16;17;18;19;20;21,3,0.296450840230513,0.3548934895665981,0.2323040778433826,0.0,1000,11,2307,4614,-0.2136401121617754,-0.1497216315433721,-0.2750517843624575,1.0,3,0.8,0.4
llama31_8b,math,movies,math->movies,0.2111007281091548,0.614515308920069,0.4034145808109142,0.4551107336396298,0.3534936532299539,0.0,13;14;15;16;17;18;19;20;21;22;23;24,3,0.3836047707386265,0.4334371614246962,0.3380182924707208,0.0,1000,12,2775,5560,-0.3429691224936106,-0.2915739703971367,-0.3954523910723333,1.0,3,0.8,0.4
llama31_8b,movies,math,movies->math,0.2264542076983262,0.4561330902341223,0.2296788825357961,0.2947120630455545,0.1549802388317769,0.0,13;14;15;16;17;18;19;20;21;22;23;24,3,0.1915439868796005,0.2601301465538096,0.1187928430902682,0.0,1000,12,1539,3078,-0.2353312894800356,-0.1605501693052318,-0.3034808972833202,1.0,3,0.8,0.4
qwen25_14b,math,movies,math->movies,0.112751979900581,0.4141896550918975,0.3014376751913165,0.3580492426457668,0.2411475465319652,0.0,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,3,0.2298142366318508,0.2818158430788197,0.1720861190701979,0.0,1000,19,1659,3320,-0.2343051039590497,-0.1690613100650916,-0.294413265062462,1.0,3,0.8,0.4
qwen25_14b,movies,math,movies->math,0.1199391428515924,0.5393097797410124,0.4193706368894199,0.4617433959825554,0.3742360745146615,0.0,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,3,0.3776157517659909,0.4230574258021577,0.328212728681074,0.0,1000,19,2370,4740,-0.3399692411656618,-0.295992666780913,-0.3838866615776174,1.0,3,0.8,0.4
olmo3_7b_it,math,movies,math->movies,0.1943353897007925,0.7240293492279886,0.529693959527196,0.620694407936495,0.4320602636432896,0.0,13;14;15;16;17;18;19;20;21;22;23;24,3,0.6186018618187596,0.713322211711544,0.5147662778344958,0.0,1000,12,508,1016,-0.4903773118168245,-0.3838344966714658,-0.5859870759470225,1.0,3,0.8,0.4
olmo3_7b_it,movies,math,movies->math,0.0983473472775299,0.6119461671035827,0.5135988198260527,0.7369408947094552,0.3143513259335029,0.0,13;14;15;16;17;18;19;20;21;22;23;24,3,0.4694966536465032,0.6887491357643929,0.2694241939422096,0.0,1000,12,362,724,-0.2982932978000227,-0.1047449170451455,-0.5139189667945812,0.998,3,0.8,0.4
