model,direction,curve_correlation,curve_delta_mae,filtered_ci_positive_layers,filtered_delta_auc,filtered_delta_ci_high,filtered_delta_ci_low,filtered_delta_p_le_zero,filtered_meta_auc,filtered_meta_ci_high,filtered_meta_ci_low,filtered_minus_original_delta,filtered_positive_layers,filtered_source_rows,filtered_target_bc_rows,filtered_truth_auc,filtered_truth_ci_high,filtered_truth_ci_low,n_layers,original_delta_auc,original_meta_auc,original_truth_auc
qwen25_7b,math->movies,0.9995824656323373,0.00791955443444112,15,0.443981765582537,0.5083899620113053,0.37382800437413843,0.0,0.7464732912539084,0.7795121012795944,0.7097759356442872,-0.006233866451276715,26,4614,502,0.3024915256713714,0.3444807613862914,0.2661860711752016,28,0.4502156320338137,0.75012285012285,0.29990721808903625
qwen25_7b,movies->math,0.999901897074088,0.0022681302014697724,18,0.3029815104422435,0.37488684355324053,0.22142911020880415,0.0,0.6696455328654282,0.7068265807428346,0.6284383700875887,0.0010218112312352923,27,1780,1887,0.3666640224231847,0.409024479570596,0.32955070283509785,28,0.3019596992110082,0.6700519279053311,0.3680922286943229
llama31_8b,math->movies,0.9998067890054212,0.021910638306881704,25,0.630697674800918,0.6845705662799899,0.5719923273188428,0.0,0.834275068552603,0.8595672779290157,0.8033633870774765,0.02988423203645585,27,3078,2107,0.20357739375168504,0.2353794285334549,0.17428549698917212,32,0.6008134427644621,0.8227133903942013,0.22189994762973916
llama31_8b,movies->math,0.999460454435424,0.003076775574686318,16,0.13990088632455144,0.20350484902190832,0.07476099807851629,0.0,0.5668256657610078,0.5989073088308469,0.5341371539056502,0.0019430961321243445,23,5480,1273,0.42692477943645635,0.46623024234301697,0.39117158885262776,32,0.1379577901924271,0.571760870450082,0.43380308025765485
qwen25_14b,math->movies,0.9999841372049848,0.0028439352949156857,31,0.4190631279052332,0.46890778271493405,0.3594966944282833,0.0,0.7068350577297946,0.7340942682575147,0.6784702242492223,-0.002996137906354668,45,4740,1320,0.2877719298245614,0.32404194602567454,0.26116564680181575,48,0.42205926581158787,0.7084984520123839,0.28643918620079606
qwen25_14b,movies->math,0.9999588445633389,0.0011666401781657322,40,0.5661418404532171,0.6032327917305498,0.5118989049144947,0.0,0.7807435783348085,0.8030295951644295,0.7532406587882247,5.010830794127674e-05,48,3266,1563,0.2146017378815913,0.24589332663872776,0.19578997921258418,48,0.5660917321452759,0.7807988342056844,0.21470710206040855
olmo3_7b_it,math->movies,0.9998984199899129,0.006684052055879606,23,0.7531903339668748,0.8160016460651727,0.6605443890340983,0.0,0.9255136211421848,0.9488646331933018,0.8961021106608119,-0.007888008440868677,30,724,243,0.17232328717530998,0.2492069288303188,0.12355462022581586,32,0.7610783424077435,0.9278152277244837,0.1667368853167401
olmo3_7b_it,movies->math,0.9999659910358174,0.0013793562913331121,23,0.3345261921336582,0.4346688838119882,0.2217703717977349,0.0,0.774477172525815,0.8183386107906582,0.7227687216627802,0.0003806996171250021,28,1002,325,0.43995098039215685,0.5119146635092735,0.37701559093457876,32,0.3341454925165332,0.7755503828750435,0.4414048903585103
