model,target,threshold,n_candidates,xy_yx_spearman,xy_yx_high_confidence_overlap,xy_yx_high_confidence_agreement,balanced_n_retained,balanced_n_uncertain,balanced_retained_fraction,balanced_n_positive,balanced_n_negative,balanced_n_B,balanced_n_C,balanced_n_conflict_rows,balanced_n_conflict_questions,balanced_oc_auc
llama31_8b,mmlu,0.7,1600,0.9197109505192552,882,0.9569160997732428,1112,488,0.695,753,359,13,454,467,258,0.7652625
llama31_8b,truthfulqa_binary,0.7,1580,0.936757512454289,949,0.9894625922023182,1125,455,0.7120253164556962,479,646,283,196,479,420,0.5912377824066656
olmo3_7b_it,mmlu,0.7,1600,0.9166739099606166,1097,0.9963536918869644,1361,239,0.850625,1235,126,4,857,861,369,0.7470708333333334
olmo3_7b_it,truthfulqa_binary,0.7,1580,0.9752666683923994,1067,1.0,1259,321,0.7968354430379747,852,407,102,318,420,372,0.6910078513058805
qwen25_14b,mmlu,0.7,1600,0.9412813440774256,1557,0.9813744380218368,1581,19,0.988125,398,1183,135,140,275,201,0.8748947916666666
qwen25_14b,truthfulqa_binary,0.7,1580,0.962965216883514,1534,0.9647979139504564,1550,30,0.981012658227848,595,955,270,94,364,292,0.8484121134433584
qwen25_7b,mmlu,0.7,1600,0.9425804589003702,1521,0.9270216962524654,1573,27,0.983125,158,1415,260,32,292,280,0.7341718750000001
qwen25_7b,truthfulqa_binary,0.7,1580,0.9488041661426097,1459,0.9369431117203564,1529,51,0.9677215189873418,334,1195,506,82,588,535,0.7001578272712705
