model,source,target,direction,answer_logp_oc_auc,answer_logp_sj_auc,layers,n_boot_valid,n_layers,question_clusters,raw_ci_high,raw_ci_low,raw_delta_auc,raw_meta_sj_auc,raw_p_le_zero,raw_truth_oc_auc,resid_ci_high,resid_ci_low,resid_delta_auc,resid_meta_sj_auc,resid_meta_sj_auc_ci_high,resid_meta_sj_auc_ci_low,resid_p_le_zero,resid_truth_oc_auc,resid_truth_oc_auc_ci_high,resid_truth_oc_auc_ci_low,sample_size,window_end,window_start
qwen25_7b,math,movies,math->movies,0.6915611415611416,0.30843885843885843,11;12;13;14;15;16;17;18;19;20;21,1000,11,468,0.513368094683246,0.389406305751364,0.4502156320338137,0.7501211319393136,0.0,0.2999054999054999,0.5294001727168566,0.4092867595799873,0.46995412449957913,0.7592910774728957,0.7889065982966426,0.7279367825881171,0.0,0.2893369529733166,0.325798759260696,0.25607512811619887,513,0.8,0.4
qwen25_7b,movies,math,movies->math,0.4173921022743013,0.5826078977256987,11;12;13;14;15;16;17;18;19;20;21,1000,11,1824,0.3814078936791297,0.22671995088004893,0.30196080097912564,0.6700519279053311,0.0,0.36809112692620544,0.4069014665039034,0.27481771570744223,0.33929232489441913,0.6914898171442674,0.7274141769867765,0.6576825145493842,0.0,0.35219749224984825,0.3866334527554978,0.31663008282238075,1887,0.8,0.4
llama31_8b,math,movies,math->movies,0.6453293156195378,0.3546706843804623,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,2035,0.6513523596154364,0.5433696824751973,0.6008134427644621,0.8227135438826562,0.0,0.22190010111819405,0.6734713950633427,0.5642584505647796,0.623887899399983,0.8330690262139863,0.8572821882485563,0.8044652114493437,0.0,0.20918112681400328,0.24097687282811373,0.1801770456499672,2146,0.8,0.4
llama31_8b,movies,math,movies->math,0.4866791830753732,0.5133208169246268,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,1240,0.20108437780640637,0.07649154058625307,0.13795766299315154,0.5717607432508064,0.0,0.43380308025765485,0.3454991100096348,0.2192912859857168,0.2796539670910035,0.6441821595384193,0.6764947398693134,0.6146270304150682,0.0,0.3645281924474158,0.39643572402892796,0.33080716758154466,1273,0.8,0.4
qwen25_14b,math,movies,math->movies,0.5623333333333334,0.4376666666666667,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,1000,19,1274,0.477056758998006,0.3681614329294405,0.42206015037593986,0.7084985994397759,0.0,0.28643844906383603,0.48514570263939816,0.3765040627681042,0.4312979507592509,0.7139068258882499,0.742896207887167,0.6849258539647807,0.0,0.282608875128999,0.311925921036769,0.25435825296432746,1340,0.8,0.4
qwen25_14b,movies,math,movies->math,0.41997365412945536,0.5800263458705446,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,1000,19,1493,0.609927271241199,0.5199109240526976,0.5660910082692381,0.7807987537750135,0.0,0.21470774550577537,0.6595386028870055,0.5753395408605424,0.6194755791571317,0.8111138779261885,0.8325587966682303,0.7895599323586953,0.0,0.19163829876905683,0.2139780225184968,0.17063021528495284,1563,0.8,0.4
olmo3_7b_it,math,movies,math->movies,0.546441534871662,0.453558465128338,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,249,0.8206462644782537,0.6935007076940748,0.7610783424077435,0.9278152277244837,0.0,0.1667368853167401,0.8136459750047624,0.6777215125110327,0.7514097744360904,0.9220356926799759,0.9465606095102074,0.8912965110963087,0.0,0.17062591824388554,0.21961133125853005,0.12880056538264287,249,0.8,0.4
olmo3_7b_it,movies,math,movies->math,0.2318786982248521,0.7681213017751479,13;14;15;16;17;18;19;20;21;22;23;24,1000,12,318,0.41947793056774246,0.2361584089882786,0.3341454925165332,0.7755503828750435,0.0,0.4414048903585103,0.26656762351581803,0.08301216404377852,0.18010355029585784,0.6592919712263603,0.709583404033696,0.6061688939463786,0.0,0.47918842093050246,0.5299066336956713,0.4358402033671257,325,0.8,0.4
