model,domain,bc_rows,generated_questions,high_confidence_pair_retention,high_confidence_pairs,high_confidence_question_clusters,high_confidence_rows,high_confidence_unique_question_texts,judged_candidate_rows,judged_pairs,n_A,n_B,n_C,n_D,variability_eligibility_rate,variability_eligible_pairs,variability_eligible_questions
qwen25_7b,math,1887,5549,0.853496115427303,2307,2307,4614,2307,5406,2703,2139,168,1719,588,0.48711479545864117,2703,2703
qwen25_7b,movies,513,17856,0.8283378746594006,912,909,1824,909,2202,1098,769,143,370,542,0.06149193548387097,1101,1098
llama31_8b,math,1273,5549,0.45344725987035944,1539,1539,3078,1539,6788,3394,624,915,358,1181,0.611641737249955,3394,3394
llama31_8b,movies,2146,17856,0.755024443237371,2780,2775,5560,2775,7364,3670,927,1853,293,2487,0.2055331541218638,3682,3670
qwen25_14b,math,1563,5549,0.9097888675623801,2370,2370,4740,2370,5210,2605,1056,1314,249,2121,0.4694539556676879,2605,2605
qwen25_14b,movies,1340,17856,0.9399773499433749,1660,1659,3320,1659,3532,1765,470,1190,150,1510,0.09884632616487456,1766,1765
olmo3_7b_it,math,325,5549,0.22853535353535354,362,362,724,362,3168,1584,258,104,221,141,0.2854568390701027,1584,1584
olmo3_7b_it,movies,249,17856,0.464775846294602,508,508,1016,508,2186,1085,375,133,116,392,0.06076388888888889,1093,1085
