experiment,model,layer,source,target,direction,delta_auc,delta_auc_ci_high,delta_auc_ci_low,delta_auc_p,delta_n_boot_valid,meta_gt_auc,meta_gt_auc_ci_high,meta_gt_auc_ci_low,meta_gt_auc_p,meta_gt_n_boot_valid,meta_mj_auc,meta_mj_auc_ci_high,meta_mj_auc_ci_low,meta_mj_auc_p,meta_mj_n_boot_valid,model_label,n_B,n_C,n_questions,sample_size,source_empty_quadrants,source_label,target_label,truth_gt_auc,truth_gt_auc_ci_high,truth_gt_auc_ci_low,truth_gt_auc_p,truth_gt_n_boot_valid,truth_mj_auc,truth_mj_auc_ci_high,truth_mj_auc_ci_low,truth_mj_auc_p,truth_mj_n_boot_valid
OOD,qwen25_7b,3,math,mmlu,math->mmlu,0.08329326923076918,0.2991669315947589,-0.1487732704425494,0.209,1000,0.46105769230769234,0.5666625264351186,0.35229606220895554,0.781,1000,0.5389423076923077,0.6439796766770276,0.44191733511586456,0.225,1000,Qwen2.5-7B,260,32,280,292,,Math source,MMLU,0.4556490384615385,0.5782325971755958,0.3573327371489136,0.786,1000,0.5443509615384615,0.6527631721462703,0.41836357953049846,0.2,1000
OOD,qwen25_7b,3,math,truthfulqa_binary,math->truthfulqa_binary,0.010098332208618443,0.1498649123263405,-0.1273011231887497,0.448,1000,0.48710594813458014,0.5560189163821849,0.42257755963330107,0.615,1000,0.5128940518654198,0.5799675321785391,0.43573807152163524,0.385,1000,Qwen2.5-7B,506,82,535,588,,Math source,TruthfulQA,0.5027957196568014,0.567923276556067,0.44185344123595616,0.477,1000,0.4972042803431987,0.5645710109623324,0.4302731997903744,0.533,1000
OOD,qwen25_7b,3,movies,mmlu,movies->mmlu,-0.041947115384615374,0.022191512514921873,-0.10043252485710889,0.897,1000,0.45709134615384617,0.5668409137272356,0.3553142677455354,0.789,1000,0.5429086538461538,0.6453913306895792,0.4360572476215645,0.187,1000,Qwen2.5-7B,260,32,280,292,,Movies source,MMLU,0.5848557692307692,0.6922121583886851,0.48311603823685606,0.054,1000,0.4151442307692308,0.5230018160546837,0.3097648127953471,0.939,1000
OOD,qwen25_7b,3,movies,truthfulqa_binary,movies->truthfulqa_binary,-0.06367492528680224,-0.008180749455604711,-0.1156017547130893,0.984,1000,0.5361274462546997,0.6096383576062393,0.46685317962707396,0.151,1000,0.4638725537453003,0.5316436345304865,0.39672475316750294,0.843,1000,Qwen2.5-7B,506,82,535,588,,Movies source,TruthfulQA,0.5275474790321025,0.5987980711418899,0.4554906049243278,0.233,1000,0.4724525209678974,0.5449586483250237,0.40742033863729094,0.771,1000
OOD,qwen25_7b,4,math,mmlu,math->mmlu,0.08569711538461533,0.2944700870224899,-0.12490476190476195,0.206,1000,0.4567307692307692,0.561048126614987,0.3476319166879895,0.773,1000,0.5432692307692307,0.6407019949059911,0.4265978901604962,0.215,1000,Qwen2.5-7B,260,32,280,292,,Math source,MMLU,0.4575721153846154,0.5579590098162935,0.35956166017483643,0.782,1000,0.5424278846153846,0.646390267466784,0.43484294970889315,0.229,1000
OOD,qwen25_7b,4,math,truthfulqa_binary,math->truthfulqa_binary,0.04673190012532541,0.19191737712543155,-0.09010043579608791,0.282,1000,0.4757061602236576,0.5445472296583445,0.40691167911971915,0.75,1000,0.5242938397763425,0.5952668018969709,0.4529867264142986,0.253,1000,Qwen2.5-7B,506,82,535,588,,Math source,TruthfulQA,0.47756193965101706,0.5493506113712607,0.4075055535971973,0.733,1000,0.522438060348983,0.5897087083877248,0.45145097546161517,0.28,1000
OOD,qwen25_7b,4,movies,mmlu,movies->mmlu,-0.078125,-0.003887577011278106,-0.14205890885378172,0.98,1000,0.4905048076923077,0.5929635111400549,0.3839747991921905,0.563,1000,0.5094951923076924,0.6131744942487131,0.4107977928667584,0.4,1000,Qwen2.5-7B,260,32,280,292,,Movies source,MMLU,0.5876201923076924,0.6823711085946904,0.48374981238220455,0.055,1000,0.4123798076923077,0.5163448111970631,0.3065470421966485,0.946,1000
OOD,qwen25_7b,4,movies,truthfulqa_binary,movies->truthfulqa_binary,0.0258845078569363,0.06705267594382366,-0.014171521088258296,0.105,1000,0.523739516051287,0.5944358845802944,0.4520628503033405,0.278,1000,0.476260483948713,0.543797913950259,0.40395002213128123,0.754,1000,Qwen2.5-7B,506,82,535,588,,Movies source,TruthfulQA,0.4503759760917767,0.5138446137347085,0.3879482348305862,0.933,1000,0.5496240239082233,0.6192092286523339,0.4863174303503057,0.054,1000
OOD,qwen25_7b,5,math,mmlu,math->mmlu,0.09723557692307694,0.3155428003281846,-0.12019136088960301,0.174,1000,0.4662259615384615,0.569864950694294,0.3642784442021083,0.752,1000,0.5337740384615385,0.6394954403772378,0.42617197025788056,0.26,1000,Qwen2.5-7B,260,32,280,292,,Math source,MMLU,0.43653846153846154,0.5486176378446116,0.3367067778669392,0.866,1000,0.5634615384615385,0.6754826742382616,0.4475382199666596,0.119,1000
OOD,qwen25_7b,5,math,truthfulqa_binary,math->truthfulqa_binary,0.032777402872842976,0.17515355668693913,-0.10630208513554742,0.295,1000,0.48664802853562134,0.5579496108640427,0.42024648618708027,0.639,1000,0.5133519714643787,0.5773580699767018,0.44371373214489196,0.344,1000,Qwen2.5-7B,506,82,535,588,,Math source,TruthfulQA,0.48057456859153574,0.547713273884641,0.40827322472937766,0.702,1000,0.5194254314084643,0.5935282890817374,0.4492685284753601,0.291,1000
OOD,qwen25_7b,5,movies,mmlu,movies->mmlu,-0.04507211538461542,0.023605960547078385,-0.11292994462325862,0.912,1000,0.45709134615384617,0.568329767137019,0.3539905592405688,0.781,1000,0.5429086538461538,0.648732784000086,0.44197393368751015,0.213,1000,Qwen2.5-7B,260,32,280,292,,Movies source,MMLU,0.5879807692307693,0.6936402486402485,0.4864191166340799,0.052,1000,0.41201923076923075,0.5193113459133847,0.30955836412764864,0.939,1000
OOD,qwen25_7b,5,movies,truthfulqa_binary,movies->truthfulqa_binary,-0.04726212281885667,0.005175491474516881,-0.08922840896864745,0.963,1000,0.5327050997782705,0.603509911309465,0.4663514403479638,0.176,1000,0.4672949002217295,0.5329967414867635,0.40528964994488614,0.831,1000,Qwen2.5-7B,506,82,535,588,,Movies source,TruthfulQA,0.5145570230405861,0.579592438984557,0.4492898833956738,0.329,1000,0.48544297695941385,0.5520949102995534,0.41979421225935976,0.681,1000
OOD,qwen25_7b,6,math,mmlu,math->mmlu,0.11045673076923074,0.3201776948651948,-0.1065765210241954,0.161,1000,0.45661057692307694,0.5588045023481616,0.3375769918059936,0.788,1000,0.5433894230769231,0.660327582535691,0.4290931515931516,0.226,1000,Qwen2.5-7B,260,32,280,292,,Math source,MMLU,0.4329326923076923,0.5495785656398036,0.31998872180451127,0.86,1000,0.5670673076923077,0.6746753541733856,0.45615529685002304,0.129,1000
OOD,qwen25_7b,6,math,truthfulqa_binary,math->truthfulqa_binary,0.031283138918345665,0.17923231071758733,-0.10814667755991285,0.327,1000,0.4851055625180758,0.5549237898875761,0.4171640376235965,0.645,1000,0.5148944374819242,0.584783344813835,0.4424722582683599,0.352,1000,Qwen2.5-7B,506,82,535,588,,Math source,TruthfulQA,0.48361129856357854,0.5587629405077287,0.4088758576068413,0.677,1000,0.5163887014364215,0.5880600134211671,0.4457706882841824,0.358,1000
