model,source,target,direction,bootstrap_unit,delta_auc,delta_ci_high,delta_ci_low,delta_p_le_zero,layers,meta_auc,meta_ci_high,meta_ci_low,n_boot,n_boot_valid,n_layers,source_empty_quadrant_reps,source_questions,source_rows,target_bc_rows,target_questions,target_single_class_reps,truth_auc,truth_ci_high,truth_ci_low,window_end,window_start
qwen25_7b,math,movies,math->movies,source_question+target_question,0.4502156320338137,0.5128995989334474,0.3858548348359185,0.0,11;12;13;14;15;16;17;18;19;20;21,0.75012285012285,0.7820544619015734,0.7154587396736013,1000,1000,11,0,2307,4614,513,468,0,0.29990721808903625,0.3392294926427375,0.2632168043966416,0.8,0.4
qwen25_7b,movies,math,movies->math,source_question+target_question,0.3019596992110082,0.3706192629516311,0.21906200086340222,0.0,11;12;13;14;15;16;17;18;19;20;21,0.6700519279053311,0.7084054192373467,0.6291807107025444,1000,1000,11,0,909,1824,1887,1824,0,0.3680922286943229,0.41365478893997704,0.33186217050947875,0.8,0.4
llama31_8b,math,movies,math->movies,source_question+target_question,0.6008134427644621,0.6552610607403748,0.5452653015597709,0.0,13;14;15;16;17;18;19;20;21;22;23;24,0.8227133903942013,0.8481514095233041,0.7958346144024722,1000,1000,12,0,1539,3078,2146,2035,0,0.22189994762973916,0.25182813953709626,0.1908177940153642,0.8,0.4
llama31_8b,movies,math,movies->math,source_question+target_question,0.1379577901924271,0.19784992521478495,0.0734057296246065,0.0,13;14;15;16;17;18;19;20;21;22;23;24,0.571760870450082,0.6031447182768207,0.5400129284642838,1000,1000,12,0,2775,5560,1273,1240,0,0.43380308025765485,0.4711565721237125,0.39984552682486024,0.8,0.4
qwen25_14b,math,movies,math->movies,source_question+target_question,0.42205926581158787,0.4701892155955819,0.36515978459351606,0.0,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,0.7084984520123839,0.7355722182847251,0.6794122260173366,1000,1000,19,0,2370,4740,1340,1274,0,0.28643918620079606,0.3208992394442504,0.25942177767261404,0.8,0.4
qwen25_14b,movies,math,movies->math,source_question+target_question,0.5660917321452759,0.6016332885619344,0.5127962401551942,0.0,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,0.7807988342056844,0.8019441432047406,0.7530634077890106,1000,1000,19,0,1659,3320,1563,1493,0,0.21470710206040855,0.24596612100301649,0.19564353945208537,0.8,0.4
olmo3_7b_it,math,movies,math->movies,source_question+target_question,0.7610783424077435,0.8177419945501923,0.6666261976439523,0.0,13;14;15;16;17;18;19;20;21;22;23;24,0.9278152277244837,0.949600131091503,0.8986095252727822,1000,1000,12,0,362,724,249,249,0,0.1667368853167401,0.24251094762482855,0.11944969560325534,0.8,0.4
olmo3_7b_it,movies,math,movies->math,source_question+target_question,0.3341454925165332,0.4301700667465559,0.22851852491233374,0.0,13;14;15;16;17;18;19;20;21;22;23;24,0.7755503828750435,0.8205849079986656,0.72607844616149,1000,1000,12,0,508,1016,325,318,0,0.4414048903585103,0.5114275457921539,0.378892877163763,0.8,0.4
