experiment,model,layer,domain,source,target,direction,all_delta_auc,all_delta_auc_ci_high,all_delta_auc_ci_low,all_delta_auc_p,all_meta_gt_auc,all_meta_gt_auc_ci_high,all_meta_gt_auc_ci_low,all_meta_gt_auc_p,all_meta_mj_auc,all_meta_mj_auc_ci_high,all_meta_mj_auc_ci_low,all_meta_mj_auc_p,all_truth_gt_auc,all_truth_gt_auc_ci_high,all_truth_gt_auc_ci_low,all_truth_gt_auc_p,all_truth_mj_auc,all_truth_mj_auc_ci_high,all_truth_mj_auc_ci_low,all_truth_mj_auc_p,auc_mj,auc_mj_ci_high,auc_mj_ci_low,auc_mj_p,cb_delta_auc,cb_delta_auc_ci_high,cb_delta_auc_ci_low,cb_delta_auc_p,cb_meta_gt_auc,cb_meta_gt_auc_ci_high,cb_meta_gt_auc_ci_low,cb_meta_gt_auc_p,cb_meta_mj_auc,cb_meta_mj_auc_ci_high,cb_meta_mj_auc_ci_low,cb_meta_mj_auc_p,cb_sample_size,cb_truth_gt_auc,cb_truth_gt_auc_ci_high,cb_truth_gt_auc_ci_low,cb_truth_gt_auc_p,cb_truth_mj_auc,cb_truth_mj_auc_ci_high,cb_truth_mj_auc_ci_low,cb_truth_mj_auc_p,cohens_d,cohens_d_ci_high,cohens_d_ci_low,cohens_d_p,delta_score,fold_empty_quadrants,fold_meta_gt_auc_mean,fold_meta_mj_auc_mean,fold_meta_mj_auc_std,fold_truth_gt_auc_mean,fold_truth_gt_auc_std,fold_truth_mj_auc_mean,n_B,n_C,source_empty_quadrants,threshold,threshold_mode
Exp2B,qwen25_7b,8,nan,math,movies,math->movies,0.0559832633580976,0.0785079493634847,0.0342338608812293,0.0,0.6642691161866932,0.686098241572494,0.6385620272057528,0.0,0.7137737300909676,0.7355121505482145,0.685747554677596,0.0,0.6577904667328699,0.6778222935764021,0.6335487983870345,0.0,0.702909274894855,0.7279677582799015,0.6816321522426835,0.0,,,,,0.1052871052871053,0.2071000647417229,0.0209639275991472,0.02,0.442730609397276,0.4818511052739898,0.4005909866196703,0.99,0.557269390602724,0.594709115873344,0.5001636076272467,0.03,569.0,0.4519822853156186,0.503398674005874,0.4064382521783417,0.96,0.5480177146843813,0.6024357013759781,0.4924941487746581,0.05,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,8,nan,movies,math,movies->math,-0.0229163863170177,-0.0016537816549523,-0.0434248125987426,0.98,0.706507948504369,0.7194992525473629,0.6907185078418187,0.0,0.6633535090643915,0.6795917619984069,0.6463680500661587,0.0,0.6862698953814093,0.7025216434302431,0.6759604978975606,0.0,0.6447816041982753,0.6647512548357642,0.6201749321596617,0.0,,,,,0.0304310199133997,0.1290194780325775,-0.0385102729040634,0.23,0.4827688192408781,0.5249331178752463,0.4381125807838367,0.83,0.5172311807591219,0.5558065326248207,0.4631241002387927,0.34,1963.0,0.4868001608457221,0.529019271776404,0.4378580075803009,0.77,0.5131998391542778,0.5567355286003774,0.4696349809133102,0.32,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,9,nan,math,movies,math->movies,0.0525588106896958,0.0827586075331135,0.0291798690669019,0.0,0.6491449851042701,0.6716416466727375,0.6241291285818296,0.0,0.6943701314444128,0.7167893381941721,0.6717935594798138,0.0,0.641811320754717,0.6631410373321884,0.6198475169377473,0.0,0.6792366315656326,0.6943594412865424,0.6506595523357546,0.0,,,,,0.083780750447417,0.1747663724446591,-0.0569324872623719,0.05,0.452042952042952,0.5002867040775422,0.4089546215821393,0.96,0.5479570479570479,0.5990419635102662,0.4874853944835658,0.06,569.0,0.4641762975096308,0.5151555195170053,0.4131764826334082,0.94,0.5358237024903691,0.5773792752420283,0.4826178493519212,0.09,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,9,nan,movies,math,movies->math,-0.0054022360341173,0.0097747251926388,-0.0259335264391613,0.75,0.7232027021377183,0.7367964480361866,0.7102557488081686,0.0,0.6834811140763545,0.7020962052692911,0.6623548464653707,0.0,0.6888833501104719,0.7002981017286577,0.6745455392915488,0.0,0.6517007392219443,0.669667617753893,0.6327400722448897,0.0,,,,,0.0363767752763807,0.1324118371943595,-0.0685764811599425,0.28,0.4770008100563543,0.5186620027833894,0.4399262445360163,0.86,0.5229991899436457,0.5558325630659032,0.4772606475906586,0.12,1963.0,0.4866224146672649,0.5244456872047113,0.4480588640212248,0.73,0.513377585332735,0.5546109552587049,0.4580547782017559,0.31,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,10,nan,math,movies,math->movies,0.0484786933443779,0.0792664745199446,0.0194163494832247,0.0,0.6480863952333664,0.6677760763967998,0.6255598592706754,0.0,0.6867954758667215,0.7113374062397226,0.6573119846161368,0.0,0.6383167825223436,0.6641285007526757,0.6130000397295602,0.0,0.6601713942383708,0.6820322698901277,0.6308682633356109,0.0,,,,,0.0147875147875147,0.1253028253061311,-0.1009879580780419,0.38,0.4776594776594776,0.539986669672339,0.4283552948835177,0.8,0.5223405223405223,0.577387779417005,0.4689660843104453,0.23,569.0,0.5075530075530076,0.5589155064505729,0.4491130856272331,0.43,0.4924469924469924,0.5507876933179766,0.444587985989028,0.55,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,10,nan,movies,math,movies->math,-0.0123731834542171,0.0121104323723121,-0.033809593975466,0.81,0.6845455217904477,0.6988114167511269,0.6681392615512227,0.0,0.6611603713587848,0.6803968189046129,0.6430636150885678,0.0,0.6735335548130019,0.6898152423756073,0.6565595919747291,0.0,0.6459740824350703,0.6657952784682672,0.62845126576962,0.0,,,,,0.0592885490666869,0.1519563747147511,-0.0144677030831213,0.08,0.4619360929641652,0.5041386267576041,0.4237057200110412,0.96,0.5380639070358348,0.5794940077696661,0.4890205173606491,0.05,1963.0,0.4787753579691479,0.5177504684535182,0.437526448032914,0.83,0.5212246420308521,0.5633310828760758,0.486304516572759,0.14,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,11,nan,math,movies,math->movies,0.0421431426849272,0.0711179173129084,0.0114339159721525,0.0,0.6513584905660378,0.6726217261930296,0.6274964970860054,0.0,0.686788624313527,0.706034628508278,0.6654796312309987,0.0,0.6446454816285998,0.6678523094099786,0.6203574416257575,0.0,0.6565242597687337,0.6790915518223987,0.6286975440086668,0.0,,,,,0.0026541693208359,0.0972867790401616,-0.0969449547400386,0.55,0.4772954772954773,0.5342148565285934,0.4308961540981257,0.78,0.5227045227045227,0.5793716595515259,0.4690434255557393,0.27,569.0,0.5200503533836868,0.5855153341993764,0.4622740391481664,0.22,0.4799496466163133,0.5356940436421395,0.4314764119682138,0.76,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,11,nan,movies,math,movies->math,0.0022472323879775,0.0276121233626654,-0.0182891951615885,0.4,0.6673452027568109,0.6828510850940498,0.6548314348485409,0.0,0.6618731558006083,0.684588859231188,0.6461086935101196,0.0,0.6596259234126308,0.6734019692165947,0.647861413964453,0.0,0.6467199137549919,0.6652960408084903,0.6291740897833988,0.0,,,,,0.0959581684567552,0.1687127324733237,0.0122292610634618,0.01,0.4382506862168037,0.4748654385345549,0.3957321781894731,1.0,0.5617493137831963,0.6026465196363733,0.5195738540946531,0.01,1963.0,0.465791145326441,0.5044573508804244,0.4175308439300654,0.96,0.5342088546735589,0.5782517899995104,0.4844622150003427,0.08,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,12,nan,math,movies,math->movies,0.0760395505607204,0.1066893211119532,0.0513405544864605,0.0,0.6706415094339623,0.6944228358658376,0.6489111076389722,0.0,0.7432143271247721,0.7608696650470654,0.7204508962348671,0.0,0.6671747765640517,0.6887345266423909,0.6414482998441345,0.0,0.7155245654534147,0.7388863933262668,0.6965735547360731,0.0,,,,,0.128992628992629,0.2196743868245887,0.0326911771828239,0.0,0.4140200806867473,0.4765394638946258,0.3602093466728667,1.0,0.5859799193132527,0.6323417514994887,0.5383127918271984,0.01,569.0,0.4569872903206236,0.5000325344586964,0.4045675638347089,0.97,0.5430127096793763,0.5977729985066379,0.4910786052898798,0.09,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,12,nan,movies,math,movies->math,0.0262204143863474,0.0486634315730691,-0.0016610582539514,0.03,0.6829954589163791,0.695833634771194,0.6702437934250218,0.0,0.6773574541272613,0.695100166862265,0.6544816255545214,0.0,0.6511370397409139,0.6637536169549085,0.6346443054334223,0.0,0.6392696786815324,0.6603688953951996,0.6207922921949103,0.0,,,,,0.0994606423338947,0.1913475694133835,0.0229408225576559,0.01,0.4354038334897111,0.4772659176029962,0.3973360249331397,1.0,0.5645961665102889,0.6122087529493742,0.5270781123186176,0.0,1963.0,0.4651355241763941,0.5030856190865114,0.4270393526997678,0.96,0.5348644758236059,0.5813994963889157,0.4915457815300574,0.11,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,13,nan,math,movies,math->movies,0.1515882868764949,0.180915739798729,0.1271122350165495,0.0,0.6569245283018867,0.6808766388309889,0.6362622728692381,0.0,0.7428812362310133,0.7648062987294879,0.7186556631593248,0.0,0.5912929493545184,0.6129687449411528,0.5677669968258849,0.0,0.6114958521751046,0.6356660872297296,0.5867864872968532,0.0,,,,,0.1447356447356447,0.229137614722631,0.0491761549805113,0.0,0.3787878787878788,0.4236037272943374,0.326107596053723,1.0,0.6212121212121212,0.662164444646249,0.5709752727132534,0.0,569.0,0.4764764764764764,0.5223480360079583,0.420337217492874,0.92,0.5235235235235235,0.5762376978109557,0.4708540400406617,0.24,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,13,nan,movies,math,movies->math,0.1187253790521841,0.1384020811174247,0.0940488749182494,0.0,0.6372043230344215,0.6528278834519489,0.6205344392872784,0.0,0.6818484514232923,0.7031396893864017,0.6619044754684765,0.0,0.5631230723711081,0.5796761733212632,0.5470592413101605,0.0,0.5999343468688451,0.6260745915991307,0.58229011777878,0.0,,,,,0.1653214291958297,0.2608268372679587,0.089940041671219,0.0,0.3917059553711398,0.4323697132516022,0.3530238324147925,1.0,0.6082940446288602,0.6575469707021515,0.5690876438822287,0.0,1963.0,0.4429726154330304,0.4894268611954127,0.3954373023641447,1.0,0.5570273845669695,0.5925249349855937,0.5166863145972612,0.0,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,14,nan,math,movies,math->movies,0.1311076692772492,0.1616888987655046,0.1121828409435571,0.0,0.6691181727904667,0.6952893307559261,0.6462965250845849,0.0,0.78405801684428,0.8026762752652556,0.7638384254666352,0.0,0.6529503475670307,0.6719388688305048,0.6300700227441572,0.0,0.733917296482518,0.7538130228112934,0.7124662065293295,0.0,,,,,0.3112961446294779,0.4109975843280672,0.2129183839629063,0.0,0.3144659811326478,0.3726980677002858,0.2701677304064742,1.0,0.6855340188673522,0.7398594674556213,0.6332555562120514,0.0,569.0,0.3742378742378742,0.422366011002464,0.3302609674055713,1.0,0.6257621257621258,0.6757654056373114,0.5812226834814052,0.0,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,14,nan,movies,math,movies->math,0.0908932517158757,0.1090384117880375,0.0751974450005228,0.0,0.7269553674514937,0.7404359158296049,0.7143015418050266,0.0,0.751542848582142,0.7725711334150922,0.736416551698905,0.0,0.6606495968662663,0.6759785909183341,0.6483321597245246,0.0,0.6648594185805705,0.6851040158183763,0.6441637394229317,0.0,,,,,0.1665437984066949,0.2432575774741046,0.0989669813389649,0.0,0.387418193049833,0.4291351642200492,0.3433978313703496,1.0,0.612581806950167,0.6484787047483317,0.5589868987666557,0.0,1963.0,0.446038008543472,0.4808397682586788,0.4039901689966638,1.0,0.5539619914565279,0.5939215055692442,0.5132164450107736,0.0,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,15,nan,math,movies,math->movies,0.1847066717191572,0.210461050202315,0.1606994464586765,0.0,0.7088311817279047,0.7337305714859873,0.6879861525978556,0.0,0.8745775753934373,0.8910480266130005,0.8599701890648157,0.0,0.6898709036742801,0.7119277313734516,0.6636638504171719,0.0,0.8237949172016149,0.8449497994215622,0.8083388222297146,0.0,,,,,0.5361725361725362,0.6086435389938051,0.457699873300219,0.0,0.2007462007462007,0.2351349578066733,0.1704861423258316,1.0,0.7992537992537992,0.826597428704487,0.7631559621388851,0.0,569.0,0.263081263081263,0.3118292776825023,0.2153474690286099,1.0,0.7369187369187369,0.7729818997818835,0.693004285292924,0.0,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,15,nan,movies,math,movies->math,0.1424891070531531,0.1619065089752196,0.1223038746815394,0.0,0.7330010066283097,0.7466422564029987,0.7190376849122017,0.0,0.7938269900462803,0.8096894999056533,0.7800381752630798,0.0,0.6513378829931272,0.6660208606194482,0.6383379197603387,0.0,0.705731797412356,0.7298143538256232,0.6862293046133187,0.0,,,,,0.2823643738380936,0.3579090395265002,0.1840059194936207,0.0,0.3327976665714802,0.3775212661996351,0.2900233897697437,1.0,0.6672023334285198,0.7030582534844987,0.6180860784737325,0.0,1963.0,0.3848379595904261,0.4272857194658919,0.3454839358852978,1.0,0.6151620404095738,0.6569721532274627,0.5702942678580795,0.0,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,16,nan,math,movies,math->movies,0.1874953580949543,0.2102203749089848,0.1636002076509113,0.0,0.6900466732869911,0.7150481528195117,0.6706035772942321,0.0,0.8651487841128292,0.8831325568227415,0.845638680782623,0.0,0.6776534260178749,0.7031759122064801,0.6555945395657999,0.0,0.8301036165660015,0.8507355785983307,0.8131268235114244,0.0,,,,,0.5793065793065793,0.6539112935283165,0.5068704746975929,0.0,0.191009191009191,0.2392983710872829,0.1493841064093621,1.0,0.808990808990809,0.8424371377065925,0.7656472893531081,0.0,569.0,0.2296842296842297,0.2797824703545042,0.1770415841044536,1.0,0.7703157703157704,0.8169555429585844,0.7318175259021216,0.0,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,16,nan,movies,math,movies->math,0.1472353626359063,0.1667614901970576,0.1274436361448335,0.0,0.7646218390102238,0.7817076040689445,0.753301522553953,0.0,0.8265649899904678,0.8414786870202667,0.8061906828863652,0.0,0.6793296273545615,0.6924462984120887,0.6663175064844584,0.0,0.7260568024428252,0.7413285885590708,0.7056645630580076,0.0,,,,,0.316691240318661,0.4009968970313926,0.2221299605776621,0.0,0.3073785061162168,0.3568113786425841,0.2687165082512345,1.0,0.6926214938837831,0.7386870182493467,0.655330250669289,0.0,1963.0,0.3759302535651221,0.4157869138428389,0.3201956514995847,1.0,0.6240697464348779,0.6662233831881205,0.5734718447190126,0.0,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,17,nan,math,movies,math->movies,0.1863732616480093,0.2114924991751346,0.1661457163532804,0.0,0.7057616683217478,0.7257596634647018,0.6769868373216652,0.0,0.8976483361266588,0.9122300118843008,0.8836001630721211,0.0,0.7112750744786495,0.729715125955358,0.6853702608690967,0.0,0.8786052345866405,0.8939054476213554,0.8650758660761865,0.0,,,,,0.6325719659052992,0.7095550269226295,0.5818439019468552,0.0,0.1614341614341614,0.1977984665936472,0.1245865803132426,1.0,0.8385658385658386,0.8728973285289136,0.8044703090023086,0.0,569.0,0.2059938726605393,0.2507613430707989,0.1708624345110847,1.0,0.7940061273394606,0.8444342092402832,0.748220640551116,0.0,,,,,,,,,,,,,,,,0.7,symmetric_confident
Exp2B,qwen25_7b,17,nan,movies,math,movies->math,0.1658969415432455,0.187903062912342,0.1484699063202345,0.0,0.7702493093500654,0.7818604128581498,0.7589518990514603,0.0,0.8543187863423862,0.8644241796628558,0.837255188324437,0.0,0.6884218447991407,0.7042272640203686,0.6764012746547778,0.0,0.7611261494805766,0.779277190760178,0.744613196977426,0.0,,,,,0.3955493522463037,0.4702813419495416,0.3236804545490235,0.0,0.2687289108530068,0.312742273961734,0.2248598736721112,1.0,0.7312710891469931,0.7707065244884135,0.6871686661857825,0.0,1963.0,0.3357217369006894,0.3752807681586227,0.2968266062583125,1.0,0.6642782630993106,0.7037963174314942,0.6153747987441638,0.0,,,,,,,,,,,,,,,,0.7,symmetric_confident
