model,source,target,direction,cb_sample_size,cluster_ci_high,cluster_ci_low,cluster_n_boot_valid,cluster_p,fixed_matched_cluster_ci_high,fixed_matched_cluster_ci_low,fixed_matched_cluster_n_boot_valid,fixed_matched_cluster_p,fixed_matched_n_bins,fixed_matched_question_clusters,fixed_matched_retention_rate,fixed_matched_sample_size,fixed_matched_token_smd,layers,matched_cluster_ci_high,matched_cluster_ci_low,matched_cluster_n_boot_valid,matched_cluster_p,matched_meta_cluster_ci_high,matched_meta_cluster_ci_low,matched_n_bins,matched_question_clusters,matched_retention_rate,matched_sample_size_mean,matched_token_smd_mean,matched_truth_cluster_ci_high,matched_truth_cluster_ci_low,mean_cb_delta_auc,mean_cb_meta_mj_auc,mean_cb_truth_gt_auc,mean_fixed_matched_cb_delta_auc,mean_matched_cb_delta_auc,mean_matched_cb_meta_mj_auc,mean_matched_cb_truth_gt_auc,meta_cluster_ci_high,meta_cluster_ci_low,meta_cluster_p_le_0_5,n_layers,question_clusters,scope,token_smd_before,truth_cluster_ci_high,truth_cluster_ci_low,truth_cluster_p_le_0_5
qwen25_7b,math,movies,math->movies,513,0.7385745053296059,0.5997436826933932,1000,0.0,0.7449271666152115,0.5593086955285751,1000,0.0,10,264,0.557504873294347,286,-0.0158245397554358,19,0.7345477500687537,0.5642846105409435,1000,0.0,0.8905035115898211,0.811080747213103,10,264,0.557504873294347,286.0,-0.0158245397554358,0.2494831843092032,0.1511767022435575,0.6723114723114724,0.8611604611604612,0.1888489888489888,0.6536260941855347,0.6536260941855347,0.8528534402660277,0.1992273460804929,0.8916669322728243,0.8267147941844684,0.0,1,468,descriptive_peak,0.1286922382824363,0.230651212858864,0.1512123284521549,1.0
qwen25_7b,movies,math,movies->math,1887,0.5632150986317246,0.3831283341916241,1000,0.0,0.5402843629415196,0.3410607039374295,1000,0.0,10,332,0.178060413354531,336,-0.0068769494937989,19,0.5817150237761962,0.3773188074664894,1000,0.0,0.8020547308418957,0.6991509697099179,2,330,0.178060413354531,336.0,-0.03714614565389,0.32318659122682,0.2190984785570857,0.476270118285825,0.7500969555943378,0.2738268373085127,0.446499433106576,0.4789186507936507,0.750673185941043,0.2717545351473923,0.7928539219546985,0.704329358124285,0.0,1,1824,descriptive_peak,-0.0088557754145579,0.3219670683437436,0.2293260749971635,1.0
llama31_8b,math,movies,math->movies,2146,0.6772949891109136,0.562892233990159,1000,0.0,0.7098515589517794,0.5780010306917087,1000,0.0,10,568,0.2730661696178937,586,0.0272212719990343,19,0.7047738839267406,0.5805290206541522,1000,0.0,0.8879202989615415,0.831662422760312,20,570,0.2730661696178937,586.0,0.0123681582898845,0.2538431345527497,0.1786226694941352,0.6172151423114256,0.8479193412029934,0.2307041988915677,0.6435369078265326,0.6448065789933488,0.8612097985998672,0.2164032196065184,0.8747479899418971,0.8236915443534196,0.0,1,2035,descriptive_peak,0.1039430466137618,0.2645397644200487,0.1951251021004121,1.0
llama31_8b,movies,math,movies->math,1273,0.3362492485891583,0.2023945643535663,1000,0.0,0.510600245118196,0.336208336831758,1000,0.0,10,470,0.3770620581304006,480,-0.0146068647329968,19,0.5260216781780693,0.3527476683803149,1000,0.0,0.7721357790587918,0.686279064092553,20,457,0.3676355066771406,468.0,0.0004566412680567,0.3340991722056536,0.2458253083515465,0.2696187074518424,0.6535000152639131,0.3838813078120707,0.4274652777777777,0.4346007743443641,0.7274088684345095,0.2928080940901453,0.6865870277592262,0.6195601121622193,0.0,1,1240,descriptive_peak,-1.2224124320017866,0.418972373596663,0.3502768180749266,1.0
qwen25_14b,math,movies,math->movies,1340,0.5925337674450243,0.4569256580711291,1000,0.0,0.6310065807144776,0.4483210834842873,1000,0.0,10,290,0.2238805970149253,300,0.0551654186666075,28,0.6167859071940937,0.4283531902537192,1000,0.0,0.849292263027239,0.7502884872728,2,294,0.2238805970149253,300.0,0.026789471235416,0.3383326325551558,0.2212933835706164,0.5234005602240897,0.7880056022408963,0.2646050420168067,0.5433333333333332,0.5188,0.8009333333333334,0.2821333333333333,0.8222888037756177,0.7511507666745598,0.0,1,1274,descriptive_peak,0.1385610464407562,0.3026838968644966,0.2224339256949757,1.0
qwen25_14b,movies,math,movies->math,1563,0.7430891212966881,0.6598024875198887,1000,0.0,0.7936327300300752,0.6748855149791034,1000,0.0,10,481,0.3186180422264875,498,0.0047241638250036,28,0.8172639615841566,0.7123741325057217,1000,0.0,0.9222992389005312,0.8675414282065034,20,482,0.3186180422264875,498.0,0.0045842121845362,0.1588305480781724,0.1010124382629569,0.7036303509318859,0.850745447543599,0.1471150966117132,0.7350365316688441,0.766858599054854,0.8948242770277899,0.1279656779729359,0.8706692703019343,0.8280637654141046,0.0,1,1493,descriptive_peak,-0.4028756123099948,0.1702621483104152,0.1255083489640918,1.0
olmo3_7b_it,math,movies,math->movies,249,0.917331718841511,0.8093974581075284,1000,0.0,0.916572691763532,0.7864165327047833,1000,0.0,10,202,0.8112449799196787,202,0.0175550824957175,27,0.916350988366068,0.7892617462079172,1000,0.0,0.9803959142619312,0.9322260037486436,10,202,0.8112449799196787,202.0,0.0175550824957175,0.1469200113970975,0.0598821796759941,0.862911589318123,0.9592299714804252,0.0963183821623023,0.859621605724929,0.859621605724929,0.9591216547397314,0.0995000490148024,0.9778112725827216,0.9375867435712026,0.0,1,249,descriptive_peak,0.181679807812474,0.1341759738448558,0.0578145849649237,1.0
olmo3_7b_it,movies,math,movies->math,325,0.5355469598238626,0.3154500876927347,1000,0.0,0.5014590756071363,0.191160387600016,1000,0.0,10,152,0.4738461538461538,154,-0.0752673816369637,27,0.4776247125594138,0.1776436201213019,1000,0.0,0.8571277654397012,0.7160726533411719,10,152,0.4738461538461538,154.0,-0.0752673816369637,0.5421966631299299,0.3660585015395142,0.428515489035851,0.8153498085624783,0.3868343195266272,0.3418789003204588,0.3418789003204588,0.7920391297014674,0.4501602293810086,0.8648727075289576,0.7598441529352379,0.0,1,318,descriptive_peak,-1.0785303263774917,0.4505364752624244,0.3234832117601924,1.0
